fold,validation_error,test_error,time taken on test
fold 0-7 100k,3.7468969133566135,3.7468969133566135,1:12:27.052791
fold 1-8 100k,3.7610212732750625,3.7610212732750625,1:14:25.904927
fold 2-9 100k,3.707777501129094,3.707777501129094,1:12:39.187998
fold 3-0 100k,3.773125934992755,3.773125934992755,1:28:15.062136
fold 4-1 100k,3.7311562606459368,3.7311562606459368,1:14:16.901031
fold 5-2 100k,3.7186298346697355,3.7186298346697355,1:00:57.984766
fold 6-3 100k,3.7846315333271328,3.7846315333271328,0:48:32.933651
fold 3-0 100k,3.773125934992755,3.773125934992755,1:12:34.642564
fold 4-1 100k,3.7311562606459368,3.7311562606459368,1:14:14.606666
fold 5-2 100k,3.7186298346697355,3.7186298346697355,1:14:24.787896
fold 6-3 100k,3.7846315333271328,3.7846315333271328,1:14:48.736163
fold 7-4 100k,3.7977779963339042,3.7977779963339042,1:12:39.227324
fold 8-5 100k,3.7601753078420685,3.7601753078420685,1:14:13.966359
fold 9-6 100k,3.7622898647646936,3.7622898647646936,1:13:15.898668
